rank,result
1280,02:57:52
1281,02:57:54
1282,02:57:54
1283,02:57:54
1284,02:57:54
1285,02:57:54
1286,02:57:55
1287,02:57:55
1288,02:57:55
1289,02:57:55
1290,02:57:55
1291,02:57:56
1292,02:57:57
1293,02:57:57
1294,02:57:59
1295,02:57:59
1296,02:57:59
1297,02:58:00
1298,02:58:00
1299,02:58:00
1300,02:58:01
1301,02:58:01
1302,02:58:01
1303,02:58:02
1304,02:58:03
1305,02:58:04
1306,02:58:05
1307,02:58:05
1308,02:58:05
1309,02:58:06
1310,02:58:06
1311,02:58:06
1312,02:58:06
1313,02:58:08
1314,02:58:09
1315,02:58:09
1316,02:58:09
1317,02:58:10
1318,02:58:10
1319,02:58:10
1320,02:58:10
1321,02:58:10
1322,02:58:11
1323,02:58:12
1324,02:58:13
1325,02:58:13
1326,02:58:13
1327,02:58:13
1328,02:58:13
1329,02:58:13
1330,02:58:14
1331,02:58:15
1332,02:58:15
1333,02:58:16
1334,02:58:16
1335,02:58:17
1336,02:58:17
1337,02:58:18
1338,02:58:18
1339,02:58:18
1340,02:58:19
1341,02:58:19
1342,02:58:19
1343,02:58:19
1344,02:58:20
1345,02:58:20
1346,02:58:21
1347,02:58:21
1348,02:58:21
1349,02:58:22
1350,02:58:23
1351,02:58:24
1352,02:58:24
1353,02:58:24
1354,02:58:25
1355,02:58:26
1356,02:58:26
1357,02:58:26
1358,02:58:26
1359,02:58:27
1360,02:58:27
1361,02:58:27
1362,02:58:27
1363,02:58:27
1364,02:58:27
1365,02:58:28
1366,02:58:28
1367,02:58:28
1368,02:58:28
1369,02:58:28
1370,02:58:29
1371,02:58:29
1372,02:58:29
1373,02:58:29
1374,02:58:30
1375,02:58:30
1376,02:58:31
1377,02:58:31
1378,02:58:31
1379,02:58:32
1380,02:58:32
1381,02:58:34
1382,02:58:34
1383,02:58:35
1384,02:58:35
1385,02:58:36
1386,02:58:37
1387,02:58:38
1388,02:58:38
1389,02:58:38
1390,02:58:39
1391,02:58:39
1392,02:58:39
1393,02:58:39
1394,02:58:40
1395,02:58:40
1396,02:58:40
1397,02:58:40
1398,02:58:40
1399,02:58:41
1400,02:58:41
1401,02:58:41
1402,02:58:41
1403,02:58:42
1404,02:58:42
1405,02:58:42
1406,02:58:42
1407,02:58:42
1408,02:58:43
1409,02:58:44
1410,02:58:44
1411,02:58:44
1412,02:58:44
1413,02:58:45
1414,02:58:46
1415,02:58:46
1416,02:58:46
1417,02:58:46
1418,02:58:47
1419,02:58:47
1420,02:58:47
1421,02:58:47
1422,02:58:47
1423,02:58:48
1424,02:58:48
1425,02:58:48
1426,02:58:49
1427,02:58:49
1428,02:58:50
1429,02:58:50
1430,02:58:50
1431,02:58:51
1432,02:58:51
1433,02:58:51
1434,02:58:51
1435,02:58:53
1436,02:58:53
1437,02:58:54
1438,02:58:54
1439,02:58:56
1440,02:58:56
1441,02:58:56
1442,02:58:56
1443,02:58:57
1444,02:58:57
1445,02:58:58
1446,02:58:59
1447,02:58:59
1448,02:58:59
1449,02:58:59
1450,02:58:59
1451,02:59:00
1452,02:59:00
1453,02:59:00
1454,02:59:00
1455,02:59:00
1456,02:59:00
1457,02:59:01
1458,02:59:01
1459,02:59:01
1460,02:59:02
1461,02:59:02
1462,02:59:02
1463,02:59:02
1464,02:59:02
1465,02:59:02
1466,02:59:02
1467,02:59:03
1468,02:59:04
1469,02:59:04
1470,02:59:04
1471,02:59:05
1472,02:59:05
1473,02:59:06
1474,02:59:06
1475,02:59:07
1476,02:59:08
1477,02:59:08
1478,02:59:09
1479,02:59:09
1480,02:59:09
1481,02:59:09
1482,02:59:09
1483,02:59:09
1484,02:59:10
1485,02:59:10
1486,02:59:10
1487,02:59:10
1488,02:59:12
1489,02:59:12
1490,02:59:12
1491,02:59:12
1492,02:59:13
1493,02:59:13
1494,02:59:13
1495,02:59:14
1496,02:59:14
1497,02:59:14
1498,02:59:14
1499,02:59:15
1500,02:59:15
1501,02:59:15
1502,02:59:16
1503,02:59:16
1504,02:59:16
1505,02:59:17
1506,02:59:17
1507,02:59:18
1508,02:59:18
1509,02:59:18
1510,02:59:19
1511,02:59:20
1512,02:59:20
1513,02:59:20
1514,02:59:20
1515,02:59:21
1516,02:59:21
1517,02:59:21
1518,02:59:22
1519,02:59:22
1520,02:59:22
1521,02:59:22
1522,02:59:22
1523,02:59:23
1524,02:59:23
1525,02:59:23
1526,02:59:23
1527,02:59:23
1528,02:59:24
1529,02:59:24
1530,02:59:24
1531,02:59:24
1532,02:59:25
1533,02:59:26
1534,02:59:26
1535,02:59:26
1536,02:59:27
1537,02:59:27
1538,02:59:27
1539,02:59:29
1540,02:59:30
1541,02:59:30
1542,02:59:31
1543,02:59:31
1544,02:59:31
1545,02:59:32
1546,02:59:32
1547,02:59:32
1548,02:59:32
1549,02:59:32
1550,02:59:33
1551,02:59:33
1552,02:59:33
1553,02:59:33
1554,02:59:33
1555,02:59:33
1556,02:59:35
1557,02:59:35
1558,02:59:35
1559,02:59:36
1560,02:59:36
1561,02:59:36
1562,02:59:36
1563,02:59:36
1564,02:59:38
1565,02:59:38
1566,02:59:39
1567,02:59:39
1568,02:59:39
1569,02:59:39
1570,02:59:39
1571,02:59:40
1572,02:59:40
1573,02:59:41
1574,02:59:41
1575,02:59:41
1576,02:59:41
1577,02:59:41
1578,02:59:41
1579,02:59:41
1580,02:59:42
1581,02:59:42
1582,02:59:43
1583,02:59:43
1584,02:59:43
1585,02:59:43
1586,02:59:43
1587,02:59:43
1588,02:59:43
1589,02:59:43
1590,02:59:43
1591,02:59:44
1592,02:59:44
1593,02:59:45
1594,02:59:45
1595,02:59:45
1596,02:59:45
1597,02:59:46
1598,02:59:46
1599,02:59:46
1600,02:59:46
1601,02:59:46
1602,02:59:46
1603,02:59:47
1604,02:59:47
1605,02:59:47
1606,02:59:48
1607,02:59:48
1608,02:59:48
1609,02:59:48
1610,02:59:49
1611,02:59:49
1612,02:59:49
1613,02:59:49
1614,02:59:50
1615,02:59:51
1616,02:59:51
1617,02:59:51
1618,02:59:51
1619,02:59:51
1620,02:59:51
1621,02:59:52
1622,02:59:53
1623,02:59:53
1624,02:59:53
1625,02:59:54
1626,02:59:54
1627,02:59:55
1628,02:59:55
1629,02:59:55
1630,02:59:55
1631,02:59:55
1632,02:59:56
1633,02:59:56
1634,02:59:56
1635,02:59:56
1636,02:59:57
